id,latitude,longitude,bobot
1,-6.2001,106.8123,78
2,-6.2154,106.8231,55
3,-6.1987,106.8452,90
4,-6.2312,106.8345,32
5,-6.2456,106.8567,64
6,-6.2678,106.8721,41
7,-6.2891,106.8902,73
8,-6.3012,106.9054,88
9,-6.3123,106.9210,27
10,-6.3287,106.9388,66
11,-6.3401,106.9556,59
12,-6.3554,106.9702,84
13,-6.3678,106.9821,38
14,-6.3789,106.9955,92
15,-6.3890,107.0102,47
16,-6.4012,107.0234,61
17,-6.4156,107.0355,79
18,-6.4278,107.0488,53
19,-6.4399,107.0621,35
20,-6.4521,107.0754,98
21,-6.4633,107.0889,44
22,-6.4745,107.1023,67
23,-6.4867,107.1156,82
24,-6.4988,107.1289,29
25,-6.5101,107.1422,75
26,-6.5223,107.1555,58
27,-6.5344,107.1688,91
28,-6.5466,107.1821,46
29,-6.5587,107.1954,63
30,-6.5709,107.2087,87
31,-6.5830,107.2220,33
32,-6.5952,107.2353,70
33,-6.6073,107.2486,56
34,-6.6195,107.2619,95
35,-6.6316,107.2752,40
36,-6.6438,107.2885,72
37,-6.6559,107.3018,81
38,-6.6681,107.3151,26
39,-6.6802,107.3284,69
40,-6.6924,107.3417,85
41,-6.7045,107.3550,50
42,-6.7167,107.3683,77
43,-6.7288,107.3816,62
44,-6.7400,107.3949,93
45,-6.7512,107.4082,31
46,-6.2103,106.8188,88
47,-6.2224,106.8299,54
48,-6.2345,106.8410,76
49,-6.2466,106.8521,39
50,-6.2587,106.8632,97
51,-6.2708,106.8743,45
52,-6.2829,106.8854,68
53,-6.2950,106.8965,83
54,-6.3071,106.9076,28
55,-6.3192,106.9187,71
56,-6.3313,106.9298,60
57,-6.3434,106.9409,94
58,-6.3555,106.9520,36
59,-6.3676,106.9631,80
60,-6.3797,106.9742,52
61,-6.3918,106.9853,99
62,-6.4039,106.9964,43
63,-6.4160,107.0075,65
64,-6.4281,107.0186,74
65,-6.4402,107.0297,30
66,-6.4523,107.0408,89
67,-6.4644,107.0519,57
68,-6.4765,107.0630,96
69,-6.4886,107.0741,42
70,-6.5007,107.0852,78
71,-6.5128,107.0963,61
72,-6.5249,107.1074,84
73,-6.5370,107.1185,37
74,-6.5491,107.1296,92
75,-6.5612,107.1407,49
76,-6.5733,107.1518,73
77,-6.5854,107.1629,66
78,-6.5975,107.1740,88
79,-6.6096,107.1851,33
80,-6.6217,107.1962,95
81,-6.6338,107.2073,58
82,-6.6459,107.2184,77
83,-6.6580,107.2295,41
84,-6.6701,107.2406,90
85,-6.6822,107.2517,55
86,-6.6943,107.2628,69
87,-6.7064,107.2739,82
88,-6.7185,107.2850,34
89,-6.7306,107.2961,93
90,-6.7427,107.3072,46
91,-6.7548,107.3183,71
92,-6.7669,107.3294,64
93,-6.7790,107.3405,87
94,-6.7911,107.3516,29
95,-6.8032,107.3627,98
96,-6.8153,107.3738,53
97,-6.8274,107.3849,76
98,-6.8395,107.3960,60
99,-6.8516,107.4071,85
100,-6.8637,107.4182,44
