Kehadiran,Part,Tugas,UTS,UAS,NilaiAkhir
100.0,90,91.0,90,90,90.3
100.0,90,91.0,90,85,88.8
100.0,85,91.0,85,90,88.3
100.0,75,91.0,65,95,83.8
100.0,80,91.0,80,95,87.8
100.0,85,91.0,85,100,91.3
100.0,75,91.0,70,75,78.8
100.0,85,91.0,85,95,89.8
100.0,75,91.0,75,95,85.8
100.0,75,91.0,25,50,62.3
100.0,85,91.0,85,95,89.8
100.0,90,91.0,90,95,91.8
100.0,85,82.0,85,95,87.1
86.67,80,73.0,80,95,82.4
100.0,75,91.0,75,70,78.3
100.0,95,18.0,95,90,70.4
100.0,80,91.0,60,70,76.3
100.0,75,91.0,75,95,85.8
100.0,90,91.0,90,95,91.8
100.0,75,91.0,70,90,83.3
100.0,85,91.0,85,90,88.3
100.0,75,91.0,75,95,85.8
100.0,80,91.0,55,70,75.3
100.0,85,91.0,85,95,89.8
100.0,80,91.0,80,95,87.8
100.0,85,91.0,85,95,89.8
100.0,80,91.0,75,60,76.3
100.0,80,91.0,75,95,86.8
100.0,80,91.0,80,95,87.8
100.0,85,91.0,85,95,89.8
100.0,85,91.0,85,95,89.8
100.0,70,91.0,70,95,83.8
100.0,90,91.0,90,90,90.3
100.0,75,91.0,65,90,82.3
100.0,80,91.0,80,95,87.8
100.0,95,91.0,95,100,95.3
93.33,90,91.0,90,85,88.8
100.0,75,91.0,60,80,78.3
80.0,90,80.5,90,95,88.65
100.0,80,91.0,80,95,87.8
100.0,80,91.0,80,100,89.3
100.0,80,91.0,75,95,86.8
86.67,95,36.0,95,95,77.3
100.0,80,91.0,80,85,84.8
100.0,85,91.0,85,90,88.3
100.0,75,91.0,70,95,84.8
100.0,85,91.0,85,95,89.8
100.0,75,91.0,45,75,73.8
100.0,85,89.5,85,95,89.35
100.0,80,73.0,80,95,82.4
100.0,80,89.5,80,95,87.35
93.33,80,91.0,80,95,87.8
86.67,95,82.0,95,90,89.6
100.0,85,91.0,85,90,88.3
93.33,85,67.0,67,67,70.6
93.33,85,67.0,67,67,70.6
100.0,85,85.0,78,68,78.5
100.0,85,85.0,72,70,77.9
100.0,85,85.0,80,72,80.1
100.0,85,85.0,76,74,79.9
100.0,85,85.0,76,76,80.5
100.0,85,85.0,74,72,78.9
100.0,85,85.0,74,72,78.9
100.0,85,85.0,84,78,82.7
100.0,85,85.0,74,72,78.9
100.0,85,85.0,76,82,82.3
100.0,85,85.0,78,76,80.9
100.0,85,85.0,74,80,81.3
100.0,85,85.0,82,80,82.9
100.0,91,85.0,84,88,86.9
100.0,85,85.0,76,78,81.1
100.0,85,85.0,74,74,79.5
100.0,85,81.0,67,73,76.6
100.0,85,85.0,78,76,80.9
100.0,85,85.0,76,76,80.5
100.0,85,85.0,78,76,80.9
100.0,85,85.0,80,82,83.1
100.0,88,85.0,85,85,85.6
100.0,85,85.0,75,70,78.5
100.0,85,85.0,74,68,77.7
100.0,85,85.0,76,72,79.3
100.0,94,85.0,84,86,86.9
100.0,85,85.0,74,77,80.4
100.0,85,85.0,76,74,79.9
100.0,88,85.0,82,85,85.0
100.0,85,85.0,78,74,80.3
100.0,85,85.0,82,73,80.8
100.0,85,85.0,80,84,83.7
100.0,85,83.0,74,80,80.7
93.33,85,82.0,74,72,78.0
100.0,85,85.0,78,74,80.3
100.0,85,83.0,78,76,80.3
100.0,85,75.0,72,76,76.7
100.0,85,83.0,82,73,80.2
100.0,85,85.0,84,72,80.9
100.0,85,85.0,78,74,80.3
100.0,85,85.0,82,73,80.8
100.0,85,85.0,84,76,82.1
100.0,85,85.0,74,80,81.3
100.0,85,85.0,78,73,80.0
100.0,85,83.0,78,72,79.1
100.0,85,85.0,78,70,79.1
100.0,85,83.0,72,74,78.5
100.0,85,85.0,78,76,80.9
100.0,85,0.0,0,70,38.0
100.0,85,75.0,72,76,76.7
100.0,85,85.0,78,75,80.6
100.0,85,85.0,74,70,78.3
100.0,85,82.0,74,73,78.3
100.0,85,85.0,70,70,77.5
100.0,85,85.0,76,70,78.7
100.0,85,85.0,72,73,78.8
100.0,85,85.0,74,70,78.3
