Transaction_ID,Customer_ID,Date,Item_Name,Quantity,Unit_Price,Discount_Pct,Marketing_Spend,Total_Spend,Customer_Age,Customer_Income
T0001,C004,2023-01-13,Mouse,2,150000,22.09,339966.25,311390.5,23,42627281
T0002,C014,2023-01-17,Laptop,2,12000000,6.98,302999.27,22373961.33,63,46613006
T0003,C018,2023-08-03,Keyboard,2,350000,20.94,173424.01,567483.98,39,9859215
T0004,C003,2023-07-14,Laptop,3,12000000,18.11,404528.5,29559665.89,52,11376941
T0005,C013,2023-02-10,Webcam,3,300000,17.32,353763.06,765050.35,32,22420497
T0006,C003,2023-04-30,Printer,3,1800000,4.88,180859.0,5169764.39,62,48872107
T0007,C003,2023-11-08,Monitor,2,2500000,13.87,138624.17,4339087.53,62,40376264
T0008,C008,2023-12-17,Keyboard,2,350000,24.65,403497.67,579998.69,22,17158818
T0009,C019,2023-06-11,USB Drive,4,120000,4.29,74117.01,474157.12,52,20632290
T0010,C019,2023-08-08,Monitor,2,2500000,15.29,50000.16,4238471.17,25,13257007
T0011,C006,2023-12-15,Mouse,4,150000,17.88,236684.69,516455.41,53,3770478
T0012,C004,2023-12-16,USB Drive,3,120000,3.35,220208.8,378933.23,64,20675739
T0013,C017,2023-04-02,Mouse,3,150000,25.25,256293.13,359385.57,41,13841372
T0014,C018,2023-09-29,Printer,1,1800000,3.36,184675.48,1785146.71,37,19069372
T0015,C002,2023-05-04,Keyboard,4,350000,24.48,489102.32,1133844.68,26,11616205
T0016,C016,2023-10-09,Laptop,5,12000000,26.17,214453.28,44317806.83,52,49296233
T0017,C007,2023-06-09,Headset,4,450000,26.99,228485.64,1336932.86,22,25688538
T0018,C001,2023-10-29,Keyboard,1,350000,21.24,34142.51,277827.37,20,25174680
T0019,C003,2023-09-21,Monitor,5,2500000,3.97,468079.55,12080612.7,48,19307268
T0020,C016,2023-07-28,Laptop,1,12000000,19.77,180377.3,9651449.57,64,6635366
T0021,C004,2023-02-01,Mouse,1,150000,7.46,99153.41,152663.98,45,15313673
T0022,C009,2023-08-25,Printer,5,1800000,2.94,327811.72,8787232.8,18,9258758
T0023,C008,2023-03-27,Printer,1,1800000,4.94,6066.91,1711857.08,47,22142751
T0024,C014,2023-12-23,Webcam,4,300000,4.64,151870.37,1181337.17,55,39386104
T0025,C002,2023-06-10,Laptop,5,12000000,14.3,460096.63,51491878.7,21,37079793
T0026,C003,2023-04-06,Laptop,1,12000000,20.26,121425.93,9577782.77,54,19523232
T0027,C019,2023-11-01,Laptop,1,12000000,12.58,293917.78,10535826.92,34,16707602
T0028,C011,2023-05-03,Mouse,3,150000,13.72,464864.07,498501.05,18,33755020
T0029,C020,2023-10-16,Mouse,2,150000,15.18,70566.0,262913.93,22,19393649
T0030,C012,2023-05-26,Laptop,5,12000000,21.11,307780.49,47410159.24,59,38496609
T0031,C001,2023-12-08,Mouse,1,150000,28.17,71474.1,112968.74,24,40126210
T0032,C005,2023-05-20,Mouse,3,150000,6.11,318947.79,455291.81,49,19852461
T0033,C002,2023-02-17,Keyboard,1,350000,10.01,69755.73,332122.09,28,32651079
T0034,C018,2023-12-28,Mouse,1,150000,28.35,347054.71,135173.73,20,27777665
T0035,C019,2023-10-10,Laptop,2,12000000,1.25,185502.5,23743893.16,20,27012171
T0036,C007,2023-12-16,Mouse,5,150000,26.52,206156.81,586998.56,27,18887173
T0037,C006,2023-04-01,Mouse,3,150000,23.47,208798.02,382799.96,65,19654221
T0038,C009,2023-03-23,Mouse,1,150000,25.76,115104.69,135913.82,47,26465179
T0039,C010,2023-04-27,Printer,3,1800000,8.36,39363.27,4956616.3,40,46049110
T0040,C017,2023-07-24,Headset,1,450000,3.46,485348.3,476030.93,34,5567397
T0041,C004,2023-11-02,Headset,4,450000,18.19,258154.41,1505375.7,54,15755970
T0042,C009,2023-01-23,Mouse,5,150000,20.61,470430.24,688291.48,30,27442489
T0043,C014,2023-02-05,Webcam,3,300000,19.9,66689.53,736239.22,50,23755742
T0044,C014,2023-06-17,Mouse,2,150000,5.76,334140.07,324764.53,65,14678777
T0045,C020,2023-10-19,Keyboard,3,350000,8.61,217794.63,7882129.71,59,24625779
T0046,C015,2023-08-15,Mouse,4,150000,23.81,480116.84,4132178.82,60,8690532
T0047,C010,2023-09-21,Keyboard,2,350000,20.18,116197.13,569177.52,19,6101350
T0048,C008,2023-09-01,Printer,4,1800000,26.58,289957.1,5342395.75,42,36177090
T0049,C013,2023-05-05,Laptop,1,12000000,26.78,430918.08,8884258.5,45,17686180
T0050,C006,2023-12-23,Mouse,2,150000,27.52,65072.51,222428.97,47,47800383
T0051,C017,2023-10-14,Printer,5,1800000,24.45,446550.05,6859939.72,53,32924755
T0052,C006,2023-09-01,USB Drive,3,120000,22.97,263043.41,323432.58,35,32519350
T0053,C003,2023-05-27,Mouse,5,150000,2.42,79661.18,741935.67,27,17358134
T0054,C003,2023-08-01,Printer,1,1800000,6.21,212971.04,12010227.51,55,49675757
T0055,C001,2023-10-22,Mouse,3,150000,8.96,198043.39,454898.91,44,39119370
T0056,C018,2023-11-05,Headset,4,450000,14.57,197484.32,1574032.63,43,14075964
T0057,C015,2023-03-07,Printer,5,1800000,16.93,18415.51,7479588.09,26,33984058
T0058,C006,2023-01-26,Mouse,4,150000,9.81,381808.71,589181.17,44,19929655
T0059,C003,2023-08-29,Laptop,5,12000000,1.56,476200.25,59109164.94,22,46738514
T0060,C002,2023-01-16,Mouse,1,150000,18.64,123079.75,139851.14,25,40847357
T0061,C007,2023-08-27,Monitor,5,2500000,18.22,375223.2,10249856.24,28,23873468
T0062,C004,2023-10-24,Laptop,3,12000000,17.27,454472.94,29839637.02,63,16309686
T0063,C003,2023-10-31,Keyboard,3,350000,25.51,302203.75,804571.85,54,5756102
T0064,C012,2023-09-30,Webcam,3,300000,0.38,212929.08,928102.09,45,27306027
T0065,C015,2023-12-29,Laptop,2,12000000,22.01,482909.5,18767830.55,52,35446968
T0066,C015,2023-08-12,Headset,2,450000,24.92,47898.13,686560.6,33,34186057
T0067,C019,2023-11-09,Mouse,4,150000,25.53,95010.73,455601.27,34,25839753
